regulation of response to stress,regulation of response to wounding,positive regulation of signal transduction by p53 class mediator,muscle contraction,detoxification of copper ion,immune response,hallmark inflammatory response,epithelium development,tissue development,cell adhesion,cell migration,response to stimulus,cellular response to stress,regulation of growth,regulation of cell population proliferation,intermediate filament cytoskeleton organization,S,G2/M ,G2/M transition of mitotic cell cycle,cell cycle G1/S phase transition,detection of mechanical stimulus,ATP-dependent chromatin remodeler activity,Cytoskeleton,P53 Pathway,Apoptosis,Inflamation
VSIG4,SERPINB2,,GJC1,,H2BC12L,CMKLR1,SOX9,MEOX2,UNC5D,SLIT2,OR8J1,MGAT3,PSMD10,FLT3,PPL,CHAF1B,KIF23,TPD52L1,ACVR1B,SCN1A,,RSPH1,CYFIP2,CD69,CMKLR1
BID,ARFGEF1,,ALDOA,,AIRE,CSF1,DLL1,PTF1A,GATA5,CELSR1,OR8U8,APTX,TLL2,PPP1R16B,ARHGEF28,BRIP1,HMMR,FOXM1,EZH2,SCN9A,,ZFYVE19,DCXR,CDC25B,CSF1
SRSF6,EPPK1,,RCSD1,,SMAD6,CSF3,JAK2,METTL21C,ITGA8,RADIL,OR8U9,HSF2BP,NCBP1,ADAMTS1,ATXN3,E2F8,AURKA,DNM2,CDK1,CXCL12,,SGCZ,DDB2,CDK2,CSF3
SPIDR,HTN1,,TBX3,,TNFSF13B,CSF3R,SFRP1,EDA2R,SMAD6,SEMA5A,ADAMTS5,MBTPS2,MAP2K5,PDGFB,TOR1A,,PSRC1,USP22,CCNJL,PIEZO2,,C15orf62,DDIT3,CDKN1A,CSF3R
CREBBP,NOS3,,MYL1,,SERINC3,CX3CL1,HAND1,PGM5,TUBB1,FOXB1,SS18,REC8,BCL2,TSPO,GFAP,,ANLN,DBX2,HINFP,ANO3,,RGCC,DDIT4,CDKN1B,CX3CL1
DEK,ALOX5,,ARG2,,VSIG4,CXCL10,TCF21,BMP4,CELSR1,LYN,SCEL,PDS5B,POU3F2,GAS6,KRT38,,LBR,CALM2,EIF4EBP1,TNF,,GABRG3,DEF6,CFLAR,CXCL10
CLEC4E,SCARF1,,FXYD1,,BMP6,CXCL11,TTC8,RBM24,RADIL,FUT8,TBC1D4,MNAT1,LGMN,SSTR3,KRT32,,CKAP5,CHEK1,CUL1,TTN,,DNAL4,DGKA,CLU,CXCL11
ZNRF4,HRAS,,KCNE5,,CST9,CXCL6,EDNRA,NRP1,SEMA5A,NRP1,SPRY2,NKX3-1,MAPK11,AMELX,KRT36,,CENPE,PBX1,CCNB1,PDZD7,,CNTLN,DNTTIP2,CREBBP,CXCL6
LYN,ANXA2,,KCNIP2,,CYSLTR2,CXCL9,SIM1,SOX4,PARVB,DCDC2,UFM1,JKAMP,RFTN1,HMGN1,KRT13,,CTCF,CCDC57,PIM2,CSRP3,,CDH2,DRAM1,CTH,CXCL9
FUT8,TFPI,,EMD,,MX1,CXCR6,ALOX12B,TNRC6A,TJP3,ITGBL1,KLF5,BNIP3L,NIPBL,ADORA2A,KRT15,,NEK2,PLK3,USP37,MKKS,,RAD51,EI24,CTNNB1,CXCR6
XRCC6,PLAT,,ADA,,CLEC4E,CYBB,NKX2-5,ZFAND5,PGM5,PTPRO,OR9G1,CFAP410,FOXC2,GID8,KRT19,,G2E3,,CDC25A,TMEM120A,,HAUS6,EPHA2,CYLD,CYBB
PDX1,DSG2,,ROCK1,,CYSLTR1,DCBLD2,BLOC1S6,COL6A1,LRP6,CLEC14A,OR9G9,SUSD6,BCAR1,GPR183,KRT9,,GAS2L3,,CUL2,ADGRV1,,LATS2,EPHX1,DAP,DCBLD2
SOX4,FOXA2,,SNTA1,,POLR3H,EBI3,APELA,DKK1,OLR1,CYP7B1,OR9G4,UBE2G2,WRN,HTR2A,KRT14,,CBX5,,CDK3,TCAP,,CENPJ,EPS8L2,DAP3,EBI3
YJU2,RTN4RL1,,SMTN,,MX2,EDN1,GREB1L,INSR,ITGBL1,ZFAND5,HRH4,EGLN3,SLC6A4,SRPX,KRT16,,CENPA,,CAMK2A,CAV3,,DPYSL2,ERCC5,DCN,EDN1
SUPT20H,CLDN3,,TPCN2,,TRIM27,EIF2AK2,SLC38A8,UMODL1,ITGA11,ITGA11,RRP1B,GET4,PAK5,SOX18,KRT35,,,,MYC,TRPA1,,FRMD5,F2R,DDIT3,EIF2AK2
CLOCK,CEACAM1,,GALR2,,LYN,EMP3,SRF,TMEM38B,MICALL2,PTK6,RFC3,NDP,MAPKAP1,GRPR,KRT17,,,,GSPT1,PKD2L1,,FRY,FAM162A,DFFA,EMP3
ISL1,CAV1,,SULF2,,XRCC6,EMR1,SPRY1,WNT7A,JCAD,CDH10,POU4F1,BID,CTTN,TFF1,SYNM,,,,IQGAP3,ASIC3,,EFHC2,FAS,DIABLO,EMR1
FEM1B,APCS,,SCN4B,,CLEC4D,EREG,CER1,ANKH,ARVCF,ONECUT2,RNF152,OSER1,HYAL1,TAFA5,AGFG2,,,,CDK2,PIEZO1,,CCNB2,FBXW7,DNAJA1,EREG
PML,FERMT1,,TACR2,,POLR3E,F3,CCM2,BARX1,COL6A1,NARS1,SMAD2,SPIDR,KLHL22,MAPK1,ERBIN,,,,CDKN1B,,,AXIN1,FDXR,DNAJC3,F3
CLEC7A,THBD,,GLRA1,,MARCHF8,FFAR2,TBX3,FOXC1,CDH10,MAPRE1,GRK1,ERCC5,SEMA3A,TWSG1,DST,,,,KHDRBS1,,,MICAL3,FGF13,DNM1L,FFAR2
NINJ1,PTPN6,,MYH11,,KIF5B,FPR1,ABCA12,FGF9,NPTN,ISL1,IPO5,SRXN1,BTG1,NFATC2,CSNK1A1,,,,EIF4E,,,ODAD2,FOS,DPYD,FPR1
TMX1,KIAA0319,,STAC2,,LTB4R,FZD5,FUZ,CAT,MMP24,WNT7A,TOLLIP,LYN,SLC9A1,PDE9A,KRT3,,,,ITGB1,,,INTS6,FOXO3,EBP,FZD5
VAV1,XBP1,,PGAM2,,PML,GABBR1,ARG2,ALDH1A2,CHL1,PML,BRSK2,ARIH1,SLC25A33,SKOR2,KRT4,,,,CCNP,,,CFAP410,FUCA1,EGR3,GABBR1
CRK,CLDN1,,CHRM3,,CLEC7A,GCH1,TBX5,TFDP1,NINJ1,CHL1,GAREM1,XRCC6,HYAL2,EGR3,KRT79,,,,TAF10,,,MTUS2,GADD45A,EMP1,GCH1
USP25,PRDX2,,SCN11A,,VAV1,GNA15,WNT3,RUNX2,PTPRM,NINJ1,OSM,RBM24,RPS6KA1,LAMA5,KRT78,,,,CCNI,,,TUBB1,GLS2,ENO2,GNA15
UFD1,ST3GAL4,,TMOD2,,PAG1,GNAI3,NOTCH1,MINPP1,MYL9,VAV1,LIF,RPA3,APP,RGCC,KRT18,,,,CCND1,,,MISP,GM2A,ERBB2,GNAI3
ADAMTS12,ADRA2A,,ADRB2,,EDA,GP1BA,FGF8,OVOL2,CDH9,CRK,FOXO1,PDX1,CCN3,SIX1,KRT26,,,,ZNF324,,,KIF13B,GNB2L1,ERBB3,GP1BA
SOD1,DUOX2,,LMOD2,,SLA2,GPC3,NODAL,DYRK1B,EDA,FOXC1,PNPLA3,LIG4,PLXNA3,CDH2,DNAJB6,,,,RCC1,,,CDKL5,GPX2,EREG,GPC3
DDRGK1,DUOX1,,MYOM2,,LACC1,GPR132,SLC22A1,FABP5,ADAMTS12,CDH9,MC4R,AP5Z1,DIP2B,GJB6,AGFG1,,,,POLE,,,DCTN6,H2AFJ,ETF1,GPR132
ARMH4,KANK1,,PABPN1,,CLEC6A,GPR183,RCN3,HCN4,CDH18,ADAMTS12,LRCH1,TNRC6A,FAM107A,SHC4,DES,,,,E2F3,,,CFAP47,HBEGF,F2,GPR183
LACC1,HPSE,,CHRNE,,NOD1,HAS2,MED12,BCL2,NEO1,DAAM2,DEFB129,CLOCK,OGFR,SIX4,KRT80,,,,CUL3,,,DYNLT3,HDAC3,F2R,HAS2
LAMP1,SERPING1,,CHRND,,DAPK1,HBEGF,GATA6,POU3F2,CDH8,CDH18,ANGPT4,COMT,RUNX1,MSX1,KRT7,,,,CCNG1,,,AKAP4,HEXIM1,FAS,HBEGF
NEO1,VEGFB,,CHRNG,,ITGB8,HIF1A,NUP133,CASP14,CDH12,NEO1,SHLD1,CHRNA4,URI1,SDC4,KRT86,,,,CDKN1A,,,MYO3A,HINT1,FASLG,HIF1A
AHR,CASK,,VPS54,,PSPC1,HPN,HNF1B,FA2H,EMB,CDH8,DEFB125,PEX2,NAIF1,PDS5B,KRT81,,,,SPDYA,,,IFT140,HIST1H1C,FDXR,HPN
RNF8,OCLN,,SCN2B,,IGHV3-23,HRH1,LHX1,KRT76,ITGA9,CDH12,BMP2,CIDEB,EGLN2,ADRA1A,KRT83,,,,USP29,,,ENKUR,HIST3H2A,FEZ1,HRH1
CLEC6A,SPP1,,SCN4A,,TNFSF11,ICAM1,NPNT,DSC1,ITGA1,TRPM2,DEFB128,GPX8,MINAR1,MNAT1,KRT85,,,,RPS6KB1,,,SPATA7,HMOX1,GADD45A,ICAM1
TWIST1,MAP2K1,,HTR2B,,CCL17,ICAM4,FOXJ1,FOXC2,ITGB8,TWIST1,DEFB126,PML,TOMM70,NKX3-1,KRT84,,,,CUL5,,,PARVB,HRAS,GADD45B,ICAM4
NOD1,TBXA2R,,NMUR1,,GEM,ICOSLG,CLDN3,AMER1,SPON1,ITGA9,CBS,NINJ1,IL9,GDF2,KRT82,,,,NPAT,,,MYO10,HSPA4L,GCH1,ICOSLG
STAP1,CLDN4,,VEGFB,,CRACR2A,IFITM1,PNPLA1,ZIC3,GP1BB,RRAS2,PHLPP1,TMX1,STK3,SMAD6,KRT75,,,,MAP3K11,,,PGM5,IER3,GNA15,IFITM1
BCL2L1,HTN3,,SGCD,,IGHV4-34,IFNAR1,WNT7B,TFAP2B,PKHD1,ITGA1,SLITRK6,CSNK2A3,ULK2,TNFSF13B,KRT6B,,,,PLK3,,,SLAIN2,IER5,GPX1,IFNAR1
PSPC1,CD9,,TBXA2R,,CCL22,IFNGR2,PECAM1,COL19A1,IGSF5,EPS8,RPL3,VPS13A,SAV1,GDF5,KRT6C,,,,,,,MYO1E,IFI30,GPX3,IFNGR2
RTN4R,DMTN,,CERT1,,SDHAF4,IL10,AHI1,LARGE1,HAPLN1,ITGB8,SOX1,FANCF,MAP1B,ATP8A2,KRT6A,,,,,,,RELL1,IKBKAP,GPX4,IL10
